"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"دار العلاية","Sabt Alalayah Show on map","SAR 162","1 night, 2 adults","One-Bedroom Apartment","1 extra-large double bed","6.2","Review score","68 reviews","/hotel/sa/dar-alalayah-furnished-apartment.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=194153302_121253310_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=672&highlighted_blocks=194153302_121253310_2_0_0&hpos=22&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=194153302_121253310_2_0_0__16200&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1Hjoebiw1&from=searchresults
;highlight_room=#hotelTmpl"
"OYO 114 Dome Hotel Al Sulaimaniah","Al Sulimania, Riyadh Show on map","SAR 270","1 night, 2 adults","Two Bedroom Apartment","3 beds
(2 singles, 1 extra-large double)","7.2","Good","2,839 reviews","/hotel/sa/rahty-home.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=54507511_335657777_4_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=673&highlighted_blocks=54507511_335657777_4_0_0&hpos=23&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=54507511_335657777_4_0_0__27009&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1U_K_LLPy&from=searchresults
;highlight_room=#hotelTmpl"
"Ghoson Al Zaitoun Furnished Units","Sakakah Show on map","SAR 130","1 night, 2 adults","Double Room","1 extra-large double bed","7.1","Good","51 reviews","/hotel/sa/gsn-lzytwn-bskk.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=372230903_119931050_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=674&highlighted_blocks=372230903_119931050_0_0_0&hpos=24&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=372230903_119931050_0_0_0__13000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1Z6hhZv22&from=searchresults
;highlight_room=#hotelTmpl"
"Lamar Al Bawadi Hotel","Jeddah Show on map","SAR 285","1 night, 2 adults","Executive Suite","1 extra-large double bed","8.0","Very good","1,664 reviews","/hotel/sa/lamar-albawadi.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=511271804_220784873_2_41_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=675&highlighted_blocks=511271804_220784873_2_41_0&hpos=25&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=511271804_220784873_2_41_0__28500&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1McVqCimo&from=searchresults
;highlight_room=#hotelTmpl"
"Home Inn Hotel Suites","Al Olayya, Al Khobar Show on map","SAR 210","1 night, 2 adults","Junior Suite","2 single beds","8.7","Fabulous","818 reviews","/hotel/sa/home-inn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=124435202_230347608_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=676&highlighted_blocks=124435202_230347608_2_0_0&hpos=26&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=124435202_230347608_2_0_0__21000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1vqL4eyrs&from=searchresults
;highlight_room=#hotelTmpl"
"شاليهات فلورنيسا الطائف","Al Wahţ Show on map","SAR 1,000","1 night, 2 adults","Deluxe King Room","1 single bed","8.5","Very good","6 reviews","/hotel/sa/shlyht-flwrnys.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=740514501_328875290_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=677&highlighted_blocks=740514501_328875290_3_0_0&hpos=27&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=740514501_328875290_3_0_0__100000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v151iCAjkT&from=searchresults
;highlight_room=#hotelTmpl"
"TRAMONTANE","Hail Show on map","SAR 231","1 night, 2 adults","Standard Double Room","1 extra-large double bed","8.5","Very good","853 reviews","/hotel/sa/dr-ryf-lyn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=020a70a582aeac6833fde7b7e8faec4d&all_sr_blocks=453382004_266141967_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=676&highlighted_blocks=453382004_266141967_2_0_0&hpos=1&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=453382004_266141967_2_0_0__23064&srepoch=1634461444&srpvid=fc0e3fc2b394009c&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Relax Day Hotel","Tabuk Show on map","SAR 250","1 night, 2 adults","Economy Double Room","2 beds
(1 single, 1 extra-large double)","7.0","Good","278 reviews","/hotel/sa/fndq-lhmdn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=020a70a582aeac6833fde7b7e8faec4d&all_sr_blocks=506282706_174932721_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=677&highlighted_blocks=506282706_174932721_3_0_0&hpos=2&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=506282706_174932721_3_0_0__24999&srepoch=1634461444&srpvid=fc0e3fc2b394009c&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Al Musafer Hotel Riyadh","Al Sulimania, Riyadh Show on map","SAR 142","1 night, 2 adults","Twin Room","2 single beds","5.9","Review score","608 reviews","/hotel/sa/al-musafer-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=020a70a582aeac6833fde7b7e8faec4d&all_sr_blocks=166456102_306930574_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=678&highlighted_blocks=166456102_306930574_2_0_0&hpos=3&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=166456102_306930574_2_0_0__14153&srepoch=1634461444&srpvid=fc0e3fc2b394009c&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Radisson Blu Hotel, Yanbu","Yanbu Show on map","SAR 420","1 night, 2 adults","Standard Room","Multiple bed types","6.6","Review score","2,434 reviews","/hotel/sa/radisson-sas-yanbu.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=020a70a582aeac6833fde7b7e8faec4d&all_sr_blocks=7332307_295321989_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=679&highlighted_blocks=7332307_295321989_2_42_0&hpos=4&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=7332307_295321989_2_42_0__42000&srepoch=1634461444&srpvid=fc0e3fc2b394009c&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
